fecha_solicitud;mes_sol;año_sol;desc_cnae;empresa_municipio;empresa_provincia;localidades_centro_trab;desc_sector;total_trab_sus;trab_hombres_sus;trab_mujeres_sus
22/11/2024;11;2024;Transporte de mercancías por carretera;Alicante;Alicante;Alicante;SERVICIOS;1;1;0
09/12/2024;12;2024;Educación secundaria técnica y profesional;Elche;Alicante;Elche;SERVICIOS;3;2;1
14/11/2024;11;2024;Fabricación de muebles de oficina y de establecimientos comerciales;Benicarló;Castelló;Benicarló;INDUSTRIA;63;52;11
14/11/2024;11;2024;Fabricación de carrocerías para vehículos de motor, fabricación de remolques y semirremolques;Peñíscola;Castelló;Peñíscola;INDUSTRIA;87;55;32
18/11/2024;11;2024;Transporte por taxi;Castellón de la Plana;Castelló;Castellón De La Plana;SERVICIOS;1;1;0
21/11/2024;11;2024;Transporte de mercancías por carretera;Moncófar;Castelló;Moncófar;SERVICIOS;2;2;0
17/12/2024;12;2024;Transporte de mercancías por carretera;Moncófar;Castelló;Moncófar;SERVICIOS;2;2;0
31/10/2024;10;2024;Servicios integrales a edificios e instalaciones;Cuart de Poblet;Valencia;Aldaya;SERVICIOS;0;0;0
04/11/2024;11;2024;Fabricación de otros componentes, piezas y accesorios para vehículos de motor;Ribarroja del Turia;Valencia;Riba-Roja De Túria;INDUSTRIA;86;53;33
04/11/2024;11;2024;Actividades de las empresas de trabajo temporal;Madrid;Madrid;"Aldaya; Almussafes; Gandía";SERVICIOS;79;60;19
04/11/2024;11;2024;Comercio al por menor de prendas de vestir en establecimientos especializados;Málaga;Málaga;Aldaya;SERVICIOS;4;0;4
04/11/2024;11;2024;Fabricación de otros muebles;Cuart de Poblet;Valencia;Quart De Poblet;INDUSTRIA;345;0;0
05/11/2024;11;2024;Fabricación de otros componentes, piezas y accesorios para vehículos de motor;Almussafes;Valencia;"Almazora; Almussafes; Bétera; Ibi; Meliana; Museros; Náquera; Paterna; Riba-Roja De Túria";INDUSTRIA;464;345;119
05/11/2024;11;2024;Actividades de las empresas de trabajo temporal;Madrid;Madrid;Paterna;SERVICIOS;31;0;31
06/11/2024;11;2024;Transporte de mercancías por carretera;Ribarroja del Turia;Valencia;Riba-Roja De Túria;SERVICIOS;149;139;10
07/11/2024;11;2024;Fabricación de vehículos de motor;Almussafes;Valencia;Almussafes;INDUSTRIA;4281;0;0
08/11/2024;11;2024;Otras actividades de apoyo a las empresas n.c.o.p.;Madrid;Madrid;Riba-Roja De Túria;SERVICIOS;124;124;0
08/11/2024;11;2024;Otras actividades de apoyo a las empresas n.c.o.p.;Paterna;Valencia;Massanassa;SERVICIOS;6;0;6
08/11/2024;11;2024;Fabricación de otros componentes, piezas y accesorios para vehículos de motor;Almussafes;Valencia;Almussafes;INDUSTRIA;254;211;43
08/11/2024;11;2024;Restaurantes y puestos de comidas;Aldaya;Valencia;Aldaya;SERVICIOS;25;7;18
